index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
8019,2,3,8,1,6,2,1,0,4,0,6,2,3,7,7,0,2,2,5,7,3,0
1465,3,0,9,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,4,6
3601,2,2,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,5,6
5716,3,2,0,1,8,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,3
5700,2,2,9,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,5,3
8015,3,2,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,0,4,6
6391,3,3,9,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,5,1,4,6
3512,3,0,3,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,0,4,6
3031,3,2,0,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1
2359,4,3,0,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,3
5548,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,5,0
3337,3,0,0,1,6,2,1,0,3,1,3,3,0,7,7,0,2,1,1,0,3,0
569,0,3,1,0,6,2,0,0,4,0,0,3,3,7,7,0,2,2,5,4,4,2
1582,4,2,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,1
3504,3,0,9,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,3
2454,0,3,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,2
7001,2,2,7,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,1,5,6
6463,4,2,0,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,6
7362,2,3,3,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,3,0
4207,3,2,5,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5
6126,2,3,8,1,6,2,1,0,1,1,3,3,0,7,7,0,2,1,1,0,3,0
4647,3,0,7,0,6,2,0,0,1,1,0,3,3,5,7,0,2,1,5,0,5,6
2179,2,2,8,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,5,0,4,4
3241,3,0,7,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,5,6
3958,3,3,0,1,4,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,3
5703,3,2,8,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,5,0,4,4
3236,3,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0
2338,2,2,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,2,2
3266,0,3,3,1,6,2,1,0,4,0,6,3,3,7,7,0,2,2,5,7,2,0
2435,3,2,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,5,1,3,0
7679,2,0,3,1,4,2,0,0,7,0,0,2,2,0,0,0,2,1,3,3,4,6
493,2,0,3,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,5,6
7063,3,0,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,1,4,6
1161,3,3,7,0,6,2,0,0,9,0,6,3,3,7,7,0,2,2,1,7,1,5
2652,3,2,9,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,4,6
356,0,0,8,1,6,2,1,0,10,0,6,2,2,7,7,0,2,2,5,7,3,0
4615,2,0,7,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,0,5,6
3640,3,0,0,1,6,2,1,0,1,1,3,0,3,7,7,0,2,1,1,0,0,0
4557,2,2,3,0,6,2,0,0,7,1,0,3,3,7,3,0,2,1,5,1,5,6
3002,2,2,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,3
1273,2,0,3,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,0
3220,2,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2
7599,0,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,1,1,5,1,1,1
3126,3,2,7,1,3,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,1
